Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2012-01-03 09:30:00,,,,,1000000,,
GOOG,GOOG,Buy,2012-01-20 16:00:00,0.99574754,0.99574754,846.0,585.99,495747.54,846.0,995747.54,0.0,0.0,
GOOG,GOOG,Buy,2012-01-23 16:00:00,0.999850120405,0.999850120405,7.0,585.52,4098.64,853.0,999452.56,0.0,0.0,
GOOG,GOOG,Buy,2012-01-25 16:00:00,0.999642083684,0.999642083684,6.0,569.49,3416.94,859.0,985575.91,0.0,0.0,
GOOG,GOOG,Buy,2012-01-26 16:00:00,0.999561831258,0.999561831258,4.0,568.1,2272.4,863.0,984303.3,0.0,0.0,
GOOG,GOOG,Buy,2012-01-27 16:00:00,0.999636678751,0.999636678751,1.0,579.98,579.98,864.0,994625.72,0.0,0.0,
GOOG,GOOG,Sell,2012-01-30 16:00:00,0.999885247728,0.999885247728,-5.0,577.69,-2888.45,859.0,992894.71,0.0,0.0,
GOOG,GOOG,Sell,2012-01-31 16:00:00,0.9996890826,0.9996890826,-4.0,580.11,-2320.44,855.0,994778.05,0.0,0.0,
GOOG,GOOG,Sell,2012-02-01 16:00:00,0.999933494227,0.999933494227,-1.0,580.83,-580.83,854.0,995636.82,0.0,0.0,
GOOG,GOOG,Sell,2012-02-03 16:00:00,0.999397516229,0.999397516229,-5.0,596.33,-2981.65,849.0,1008332.17,0.0,0.0,
GOOG,GOOG,Sell,2012-02-06 16:00:00,0.999436992505,0.999436992505,-3.0,609.09,-1827.27,846.0,1019199.14,0.0,0.0,
GOOG,GOOG,Sell,2012-02-07 16:00:00,0.99973344745,0.99973344745,-8.0,606.77,-4854.16,838.0,1017539.26,0.0,0.0,
GOOG,GOOG,Sell,2012-02-08 16:00:00,0.999746028878,0.999746028878,-1.0,609.85,-609.85,837.0,1020132.45,0.0,0.0,
GOOG,GOOG,Sell,2012-02-09 16:00:00,0.999934357024,0.999934357024,-2.0,611.46,-1222.92,835.0,1021672.1,0.0,0.0,
GOOG,GOOG,Sell,2012-02-10 16:00:00,0.994814841718,0.994814841718,-277.0,605.91,-167837.07,558.0,1011831.07,0.0,0.0,
XOM,XOM,Buy,2012-02-10 16:00:00,0.994814841718,0.994814841718,4041.0,82.69,334150.29,4041.0,1011831.07,0.0,0.0,
GOOG,GOOG,Buy,2012-02-13 16:00:00,0.999734184945,0.999734184945,2.0,612.2,1224.4,560.0,1022807.8,0.0,0.0,
XOM,XOM,Buy,2012-02-13 16:00:00,0.999734184945,0.999734184945,15.0,83.3,1249.5,4056.0,1022807.8,0.0,0.0,
GOOG,GOOG,Sell,2012-02-14 16:00:00,0.999437083598,0.999437083598,-1.0,609.76,-609.76,559.0,1022151.64,0.0,0.0,
GOOG,GOOG,Buy,2012-02-15 16:00:00,0.999970280576,0.999970280576,1.0,605.56,605.56,560.0,1018159.05,0.0,0.0,
XOM,XOM,Sell,2012-02-15 16:00:00,0.999970280576,0.999970280576,-11.0,83.01,-913.11,4045.0,1018159.05,0.0,0.0,
GOOG,GOOG,Buy,2012-02-16 16:00:00,0.999722170148,0.999722170148,5.0,606.52,3032.6,565.0,1023579.6,0.0,0.0,
XOM,XOM,Sell,2012-02-16 16:00:00,0.999722170148,0.999722170148,-10.0,84.28,-842.8,4035.0,1023579.6,0.0,0.0,
