Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2012-01-03 09:30:00,,,,,1000000,,
AN,AN,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-2840.0,33.26,-94458.4,-2840.0,-782896.11,0.0,0.0,
BMC,BMC,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-3025.0,32.5,-98312.5,-3025.0,-782896.11,0.0,0.0,
CRM,CRM,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-1010.0,97.48,-98454.8,-1010.0,-782896.11,0.0,0.0,
FDO,FDO,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-1748.0,56.77,-99233.96,-1748.0,-782896.11,0.0,0.0,
ICE,ICE,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-843.0,117.02,-98647.86,-843.0,-782896.11,0.0,0.0,
MA,MA,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-273.0,355.61,-97081.53,-273.0,-782896.11,0.0,0.0,
NTAP,NTAP,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-2800.0,35.64,-99792.0,-2800.0,-782896.11,0.0,0.0,
PRGO,PRGO,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-1030.0,94.87,-97716.1,-1030.0,-782896.11,0.0,0.0,
SRCL,SRCL,Sell Short,2012-01-04 16:00:00,0.98289611,-0.78289611,-1293.0,76.72,-99198.96,-1293.0,-782896.11,0.0,0.0,
ACN,ACN,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-948.0,51.37,-48698.76,-948.0,-853133.21,0.0,0.0,
AN,AN,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,1324.0,34.05,45082.2,-1516.0,-853133.21,0.0,0.0,
ANF,ANF,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-1082.0,45.28,-48992.96,-1082.0,-853133.21,0.0,0.0,
BMC,BMC,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,1483.0,32.79,48627.57,-1542.0,-853133.21,0.0,0.0,
CME,CME,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-209.0,46.05,-9624.45,-209.0,-853133.21,0.0,0.0,
CPB,CPB,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-1535.0,31.26,-47984.1,-1535.0,-853133.21,0.0,0.0,
CRM,CRM,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,493.0,98.77,48693.61,-517.0,-853133.21,0.0,0.0,
FDO,FDO,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,865.0,57.57,49798.05,-883.0,-853133.21,0.0,0.0,
ICE,ICE,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,410.0,117.01,47974.1,-433.0,-853133.21,0.0,0.0,
MA,MA,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,132.0,351.93,46454.76,-141.0,-853133.21,0.0,0.0,
MPC,MPC,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-1518.0,31.3,-47513.4,-1518.0,-853133.21,0.0,0.0,
NE,NE,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-1634.0,30.04,-49085.36,-1634.0,-853133.21,0.0,0.0,
NTAP,NTAP,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,1377.0,34.67,47740.59,-1423.0,-853133.21,0.0,0.0,
PCS,PCS,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-6004.0,8.01,-48092.04,-6004.0,-853133.21,0.0,0.0,
PRGO,PRGO,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,498.0,95.93,47773.14,-532.0,-853133.21,0.0,0.0,
S,S,Sell Short,2012-01-05 16:00:00,0.956836429002,-0.856092215695,-21731.0,2.24,-48677.44,-21731.0,-853133.21,0.0,0.0,
SRCL,SRCL,Buy to Cover,2012-01-05 16:00:00,0.956836429002,-0.856092215695,638.0,76.93,49081.34,-655.0,-853133.21,0.0,0.0,
