Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2008-01-02 09:30:00,,,,,1000000,,
DGX,DGX,Buy,2008-02-25 16:00:00,0.96743601,0.96743601,7173.0,46.03,330173.19,7173.0,967436.01,0.0,0.0,
SWY,SWY,Buy,2008-02-25 16:00:00,0.96743601,0.96743601,11178.0,27.19,303929.82,11178.0,967436.01,0.0,0.0,
DGX,DGX,Sell,2008-02-26 16:00:00,1.0089657568,1.0089657568,-1712.0,46.65,-79864.8,5461.0,1017061.92,0.0,0.0,
INTU,INTU,Buy,2008-02-26 16:00:00,1.0089657568,1.0089657568,9554.0,27.42,261970.68,9554.0,1017061.92,0.0,0.0,
SWY,SWY,Sell,2008-02-26 16:00:00,1.0089657568,1.0089657568,-2469.0,27.51,-67922.19,8709.0,1017061.92,0.0,0.0,
DGX,DGX,Sell,2008-02-27 16:00:00,1.01423930648,1.01423930648,-1130.0,46.21,-52217.3,4331.0,1013310.03,0.0,0.0,
GOOG,GOOG,Buy,2008-02-27 16:00:00,1.01423930648,1.01423930648,452.0,472.86,213732.72,452.0,1013310.03,0.0,0.0,
INTU,INTU,Sell,2008-02-27 16:00:00,1.01423930648,1.01423930648,-2006.0,27.31,-54783.86,7548.0,1013310.03,0.0,0.0,
SWY,SWY,Sell,2008-02-27 16:00:00,1.01423930648,1.01423930648,-1825.0,26.88,-49056.0,6884.0,1013310.03,0.0,0.0,
DGX,DGX,Sell,2008-02-28 16:00:00,0.999366928474,0.999366928474,-44.0,46.13,-2029.72,4287.0,999127.73,0.0,0.0,
GOOG,GOOG,Sell,2008-02-28 16:00:00,0.999366928474,0.999366928474,-18.0,475.39,-8557.02,434.0,999127.73,0.0,0.0,
INTU,INTU,Sell,2008-02-28 16:00:00,0.999366928474,0.999366928474,-82.0,27.44,-2250.08,7466.0,999127.73,0.0,0.0,
SWY,SWY,Buy,2008-02-28 16:00:00,0.999366928474,0.999366928474,62.0,26.72,1656.64,6946.0,999127.73,0.0,0.0,
DGX,DGX,Sell,2008-02-29 16:00:00,1.00408148851,1.00408148851,-4287.0,45.92,-196859.04,0.0,988007.65,0.0,0.0,
